"gam","boot","theoretical"
0,0.204037939294832,0.185671896474399
0.25,0.196442522922684,0.16972902676959
0.5,0.176587265568879,0.161259149181976
0.75,0.173785261664532,0.157615715035504
1,0.171574580076567,0.158682798860449
1.25,0.198395880723553,0.170011740949704
1.5,0.254401869080741,0.231222762390163
1.75,0.541780497329201,0.509788729186714
2,1.27896393400598,1.1710108348351
2.25,2.0649574413126,1.4358223983525
2.5,2.43487583841922,0.894380685666237
2.75,2.47416777449404,0.524308615441386
3,2.27773301468638,0.42945368316572
4,1.42959325721631,0.445068709869451
5,0.955558099680785,0.34461553438402
6,0.721154765939511,0.257565764912558
7,0.599576944006272,0.202069725090287
8,0.504568049742385,0.165162629881038
9,0.453507398330215,0.138784267992584
10,0.415573003706282,0.118886774560833
